"Agency.Name","2019","2020","gap","GrowthOrNot"
"BROOKLYN COMMUNITY BOARD #9",38928.0733333333,52432.74,13504.6666666667,1
"BUSINESS INTEGRITY COMMISSION",62508.8358974359,71209.967804878,8701.13190744215,1
"CAMPAIGN FINANCE BOARD",80032.9717241379,89370.4552631579,9337.48353901997,1
"CITY CLERK",52723.4935526316,58265.4966176471,5542.00306501547,1
"CITY COUNCIL",65402.7790420561,72941.9866544567,7539.20761240058,1
"CIVIL SERVICE COMMISSION",78049.4716666667,70594.0241666667,-7455.44749999999,-1
"CIVILIAN COMPLAINT REVIEW BD",70912.9454255319,72406.845915493,1493.90048996104,1
"COMMUNITY COLLEGE (BRONX)",35057.5215916627,42176.4294253521,7118.90783368939,1
"COMMUNITY COLLEGE (HOSTOS)",33861.3416184211,36886.4272851296,3025.08566670855,1
"COMMUNITY COLLEGE (KINGSBORO)",31040.6473863636,38072.9534520191,7032.30606565547,1
"COMMUNITY COLLEGE (LAGUARDIA)",29839.3404970915,32268.4628127882,2429.12231569671,1
"COMMUNITY COLLEGE (MANHATTAN)",34282.6115073023,37980.6902497822,3698.07874247988,1
"COMMUNITY COLLEGE (QUEENSBORO)",38143.5228511177,43007.7300838379,4864.20723272024,1
"CONFLICTS OF INTEREST BOARD",92202.1488,93704.6388,1502.49000000001,1
"CONSUMER AFFAIRS",63394.830471464,67015.1774807198,3620.34700925578,1
"CULTURAL AFFAIRS",69588.3334375,73662.2571641791,4073.9237266791,1
"CUNY CENTRAL OFFICE",45803.8006796117,58286.93725,12483.1365703883,1
"DEPARTMENT FOR THE AGING",30496.7874666667,31775.0329199549,1278.24545328824,1
"DEPARTMENT OF BUILDINGS",71794.2998139256,76559.0367961165,4764.73698219094,1
"DEPARTMENT OF BUSINESS SERV.",69698.0520723684,79424.8369805195,9726.78490815106,1
"DEPARTMENT OF CITY PLANNING",71592.0358381503,80775.8546202532,9183.81878210287,1
"DEPARTMENT OF CORRECTION",88844.6912462312,93481.9153949921,4637.22414876099,1
"DEPARTMENT OF EDUCATION ADMIN",63064.1377606099,72553.9219342374,9489.78417362743,1
"DEPARTMENT OF FINANCE",73092.0719368723,78643.0970396601,5551.02510278775,1
"DEPARTMENT OF INVESTIGATION",77849.5012112676,78451.0793611111,601.57814984351,1
"DEPARTMENT OF PROBATION",62696.6278677111,68377.9268912848,5681.29902357377,1
"DEPARTMENT OF SANITATION",91357.7460972557,98936.1492941892,7578.40319693358,1
"DEPARTMENT OF TRANSPORTATION",84311.9326583392,87656.6801398239,3344.74748148472,1
"DEPT OF CITYWIDE ADMIN SVCS",77158.5666367347,82221.9743196457,5063.40768291103,1
"DEPT OF ED HRLY SUPPORT STAFF",21539.3631955025,23489.7247399473,1950.36154444475,1
"DEPT OF ED PARA PROFESSIONALS",33967.110398841,35673.7220400178,1706.61164117676,1
"DEPT OF ED PEDAGOGICAL",98581.4810419189,100218.337668901,1636.85662698228,1
"DEPT OF ED PER DIEM TEACHERS",14065.1161660012,13463.8854415827,-601.230724418443,-1
"DEPT OF ED PER SESSION TEACHER",4697.65551474518,3897.27069459363,-800.384820151551,-1
"DEPT OF ENVIRONMENT PROTECTION",88549.1441276803,93415.4166382839,4866.27251060362,1
"DEPT OF HEALTH/MENTAL HYGIENE",70633.798080837,74073.7724157463,3439.97433490922,1
"DEPT OF INFO TECH & TELECOMM",86403.4910077022,90331.079437537,3927.58842983482,1
"DEPT OF PARKS & RECREATION",38996.0094304788,46469.1551636541,7473.14573317536,1
"DEPT OF RECORDS & INFO SERVICE",62187.5207142857,59246.2781578947,-2941.24255639097,-1
"DEPT OF YOUTH & COMM DEV SRVS",72554.9632014388,77477.2195509499,4922.25634951107,1
"DEPT. OF DESIGN & CONSTRUCTION",80933.9125409836,90952.2181977671,10018.3056567835,1
"DEPT. OF HOMELESS SERVICES",63708.6634077968,71146.3069289461,7437.64352114935,1
"DISTRICT ATTORNEY-MANHATTAN",75974.2969860279,77442.5896913183,1468.29270529038,1
"DISTRICT ATTORNEY-SPECIAL NARC",86201.5490232558,89662.2528378378,3460.70381458203,1
"DISTRICT ATTORNEY KINGS COUNTY",73575.7877436823,75490.0874781086,1914.29973442628,1
"DISTRICT ATTORNEY QNS COUNTY",80661.760215208,78023.5785753053,-2638.18163990274,-1
"DISTRICT ATTORNEY RICHMOND COU",84414.0825903614,69302.2688235294,-15111.813766832,-1
"DOE CUSTODIAL PAYROL",76287.815344418,98931.026350365,22643.2110059469,1
"EQUAL EMPLOY PRACTICES COMM",80580.4716666667,76406.2084615385,-4174.2632051282,-1
"FINANCIAL INFO SVCS AGENCY",112833.398422274,115537.345614849,2703.9471925754,1
"FIRE DEPARTMENT",99329.5290443509,103672.713367377,4343.18432302566,1
"GUTTMAN COMMUNITY COLLEGE",34120.9671523179,32180.3119521912,-1940.65520012665,-1
"HOUSING PRESERVATION & DVLPMNT",68921.4811827498,72270.8157615894,3349.33457883961,1
"HRA/DEPT OF SOCIAL SERVICES",61580.9131354109,63151.4547420364,1570.54160662558,1
"HUMAN RIGHTS COMMISSION",66815.7598461538,71745.3067424242,4929.5468962704,1
"HUNTER COLLEGE HIGH SCHOOL",60249.5756916996,68477.510167364,8227.93447566441,1
"INDEPENDENT BUDGET OFFICE",99738.3051428571,98795.6013157895,-942.703827067671,-1
"LANDMARKS PRESERVATION COMM",67217.8473333333,73096.981948052,5879.13461471861,1
"LAW DEPARTMENT",74538.182268421,80592.6677100053,6054.4854415843,1
"MANHATTAN COMMUNITY BOARD #1",75481.7666666667,78269.0266666667,2787.25999999999,1
"MANHATTAN COMMUNITY BOARD #10",53176.68,60988.645,7811.965,1
"MANHATTAN COMMUNITY BOARD #11",85177.17,62960.4066666667,-22216.7633333333,-1
"MANHATTAN COMMUNITY BOARD #12",72418.015,64402.42,-8015.595,-1
"MANHATTAN COMMUNITY BOARD #2",56720.52,56091.445,-629.075000000004,-1
"MANHATTAN COMMUNITY BOARD #3",54577.1675,59614.2025,5037.035,1
"MANHATTAN COMMUNITY BOARD #4",68707.04,69270.6366666667,563.59666666665,1
"MANHATTAN COMMUNITY BOARD #5",70008.9666666667,73009.1866666667,3000.22000000002,1
"MANHATTAN COMMUNITY BOARD #6",55520.9933333333,62345.6733333333,6824.68,1
"MANHATTAN COMMUNITY BOARD #7",74399.6266666667,74539.6533333333,140.026666666672,1
"MANHATTAN COMMUNITY BOARD #8",37133.45,53857.375,16723.925,1
"MANHATTAN COMMUNITY BOARD #9",60172.6466666667,60729.7866666667,557.139999999999,1
"MAYORS OFFICE OF CONTRACT SVCS",78183.296035503,85473.2361413043,7289.94010580138,1
"MUNICIPAL WATER FIN AUTHORITY",99706.6830769231,99924.9616666667,218.278589743597,1
"NYC DEPT OF VETERANS' SERVICES",84202.2721052632,84434.3821052632,232.110000000001,1
"NYC EMPLOYEES RETIREMENT SYS",70855.693125,72836.1452483801,1980.45212338012,1
"NYC FIRE PENSION FUND",87285.6869444444,99497.4025,12211.7155555556,1
"NYC HOUSING AUTHORITY",65589.8484907579,72723.3419757697,7133.49348501187,1
"NYC POLICE PENSION FUND",80511.8219858156,82198.0004347826,1686.178448967,1
"OFF OF PAYROLL ADMINISTRATION",86617.8632885906,88111.3961486487,1493.53286005805,1
"OFFICE OF COLLECTIVE BARGAININ",108238.578333333,130371.03,22132.4516666667,1
"OFFICE OF EMERGENCY MANAGEMENT",84492.9640983607,91572.9604545454,7079.9963561848,1
"OFFICE OF LABOR RELATIONS",76864.4868656716,73526.0771069182,-3338.40975875341,-1
"OFFICE OF MANAGEMENT & BUDGET",82881.1128398058,85820.7557985258,2939.64295871998,1
"OFFICE OF THE ACTUARY",106698.865116279,111919.543809524,5220.67869324473,1
"OFFICE OF THE COMPTROLLER",80285.4273216521,85824.3103242542,5538.88300260215,1
"OFFICE OF THE MAYOR",79991.4828419183,94435.6358019802,14444.1529600619,1
"PERSONNEL MONITORS",3549.34335443038,4591.78680555556,1042.44345112518,1
"POLICE DEPARTMENT",91178.6054773758,95022.9976442933,3844.39216691749,1
"PRESIDENT BOROUGH OF MANHATTAN",72065.3589090909,69433.9203636364,-2631.43854545454,-1
"PUBLIC ADMINISTRATOR-BRONX",82435.5628571429,80772.5875,-1662.97535714286,-1
"PUBLIC ADMINISTRATOR-KINGS",63364.2058333333,60795.1666666667,-2569.03916666667,-1
"PUBLIC ADMINISTRATOR-NEW YORK",63741.1081818182,67493.461,3752.35281818181,1
"PUBLIC ADMINISTRATOR-QUEENS",70256.1975,71126.10875,869.911250000005,1
"PUBLIC ADMINISTRATOR-RICHMOND",62437.99,107020.318,44582.328,1
"PUBLIC ADVOCATE",23229.9992857143,52977.0658823529,29747.0665966387,1
"PUBLIC SERVICE CORPS",2826.48739534884,3137.99674418605,311.509348837209,1
"QUEENS COMMUNITY BOARD #1",51680.9266666667,42547.52,-9133.40666666667,-1
"QUEENS COMMUNITY BOARD #10",50709.3633333333,42273.42,-8435.94333333333,-1
"QUEENS COMMUNITY BOARD #11",65635.9366666667,67897.6933333333,2261.75666666667,1
"QUEENS COMMUNITY BOARD #12",52970.67,54345.5875,1374.9175,1
"QUEENS COMMUNITY BOARD #13",72013.7233333333,73538.18,1524.45666666667,1
"QUEENS COMMUNITY BOARD #14",73379.4466666667,78983.24,5603.79333333333,1
"QUEENS COMMUNITY BOARD #2",56457.92,57001.9675,544.047500000001,1
"QUEENS COMMUNITY BOARD #3",66213.8533333333,63022.8933333333,-3190.96,-1
"QUEENS COMMUNITY BOARD #4",75623.1266666667,75952.1233333333,328.996666666673,1
"QUEENS COMMUNITY BOARD #5",56682.35,57121.175,438.825000000004,1
"QUEENS COMMUNITY BOARD #6",52949.9675,56489.9425,3539.975,1
"QUEENS COMMUNITY BOARD #7",39195.3675,39636.394,441.0265,1
"QUEENS COMMUNITY BOARD #8",51595.6325,71331.5866666667,19735.9541666667,1
"QUEENS COMMUNITY BOARD #9",34853.92,44674.7025,9820.7825,1
"STATEN ISLAND COMMUNITY BD #1",71850.1766666667,73680.07,1829.89333333333,1
"STATEN ISLAND COMMUNITY BD #2",44642.7433333333,66326.195,21683.4516666667,1
"STATEN ISLAND COMMUNITY BD #3",75097.7566666667,75610.6766666667,512.919999999998,1
"TAX COMMISSION",84542.7563157895,85439.349,896.592684210525,1
"TAXI & LIMOUSINE COMMISSION",52738.4729468599,59078.9333123028,6340.46036544294,1
"TEACHERS RETIREMENT SYSTEM",82417.1178074866,85665.9430193906,3248.82521190395,1
